Image ID,Orientation,Side body area[mm2],Standard length[mm],Myotome length[mm],Myotome height[mm],Side yolk area[mm2],Eye area[mm2],Eye max diameter[mm],Eye min diameter[mm],Ventral body area[mm2],Ventral body length[mm],Ventral body width[mm],Ventral yolk area[mm],Number of lipids,Total lipid area [mm2]
LUS_0037,ventral,0,0,0,0,0,0,0,0,3.5305539021542547,2.5497373525360336,1.7765068287241672,1.7900116755568782,1,0.46724262265058036
LUS_0038,ventral,0,0,0,0,0,0,0,0,3.440825244385431,2.485122170288193,1.7744008043377735,1.6798321924864357,1,0.4228440282960555
LUS_0040,side,4.994560108067652,6.149419746718341,6.359655029131273,0.9087229615221278,1.1367731218225463,0.25143070983287846,0.6195244907243082,0.5177519867777525,0,0,0,0,0,0
LUS_0041,side,4.978961491771707,6.058963174219989,6.261690053689604,0.9036465385630218,1.122196767097781,0.2540411277735691,0.6192618173785103,0.5234087812057615,0,0,0,0,0,0
LUS_0043,side,6.353702503628116,6.352088209318595,0.2305550105709509,0.5374332800780957,1.1436277507507233,0,0,0,0,0,0,0,0,0
LUS_0045,ventral,0,0,0,0,0,0,0,0,3.080498386025961,2.6534402251783566,1.48908601874596,1.3759386232000184,1,0.4397292301000435
LUS_0046,ventral,0,0,0,0,0,0,0,0,3.0560827362010943,2.644051703122734,1.4879792307150046,1.5371600352556032,1,0.42380697557290353
LUS_0047,ventral,0,0,0,0,0,0,0,0,2.944189121128179,2.639401665961161,1.4484977688344236,1.5119889082209657,1,0.4390968041024702
LUS_0048,ventral,0,0,0,0,0,0,0,0,2.9874645154643895,2.6613098909116966,1.4562546223738664,1.5587798470730982,1,0.4410727776378746
LUS_0049,ventral,0,0,0,0,0,0,0,0,2.994757446029166,2.6170372234964967,1.4766682341715207,1.5589028982852957,1,0.44531661363064035
LUS_0050,ventral,0,0,0,0,0,0,0,0,2.958710594995536,2.67063607998966,1.440739176956329,1.364164339186374,1,0.4487849408209519
LUS_0051,ventral,0,0,0,0,0,0,0,0,2.1758516288546508,1.8115656753380074,1.5683218744538574,0,0,0
LUS_0052,ventral,0,0,0,0,0,0,0,0,2.1767101256839356,1.858779434328621,1.5394655656153833,0,0,0
LUS_0053,ventral,0,0,0,0,0,0,0,0,2.1533532886151874,1.8172654829329264,1.5489383250642237,0,0,0
LUS_0054,ventral,0,0,0,0,0,0,0,0,2.1604416107689843,1.8576311273859236,1.5281430250654142,0,0,0
LUS_0055,ventral,0,0,0,0,0,0,0,0,2.1014342620361255,1.8068035846927666,1.5275151533518387,0,0,0
LUS_0056,ventral,0,0,0,0,0,0,0,0,3.698976671779492,2.6578091700499313,1.7854059677223697,1.8439424463725647,1,0.479059831505689
LUS_0058,ventral,0,0,0,0,0,0,0,0,3.545875208900895,2.549124276298494,1.7922942177464054,1.7684676976259701,1,0.4756573224056226
LUS_0059,ventral,0,0,0,0,0,0,0,0,3.5905885854261577,2.653097946970267,1.736287232227642,1.7333151141228451,1,0.4642564845127172
LUS_0060,ventral,0,0,0,0,0,0,0,0,3.099325221492182,2.703852842540787,1.4907314287020847,1.5427316796776631,1,0.4968836565096953
LUS_0061,ventral,0,0,0,0,0,0,0,0,3.078764222430805,2.719659070651648,1.4710233663886247,1.5103591950733728,1,0.48966083651931047
LUS_0062,side,4.65135404021504,5.742438846057751,6.260518649146768,0.43542279695943126,1.3960533401484105,0.20732742490484754,0.5912928703805296,0.44767629409373366,0,0,0,0,1,0.0574620544401456
LUS_0063,side,4.798495815116693,5.787881838687185,5.908016285780291,0.9290853008045509,1.1438011701244055,0.25253511742317064,0.5709821528548051,0.5632790333587785,0,0,0,0,0,0
LUS_0064,side,4.738620494519035,5.77324234905743,5.878359990263896,0.9321012860612914,1.110331231003733,0.24511459369666214,0.5726236648429744,0.5451519681969718,0,0,0,0,0,0
LUS_0066,side,4.641651682624292,6.321876728956057,6.797408915366239,0.3323812094132947,1.508091382882595,0.1756464435337392,0.5799543545604882,0.3870333329158964,0,0,0,0,0,0
LUS_0067,side,6.70672045709696,7.1690648383102715,7.867346312038939,0.23592051970217087,2.07767362473873,0,0,0,0,0,0,0.4298593782193631,0,0
LUS_0069,ventral,0,0,0,0,0,0,0,0,3.443342070923285,2.6569278657874045,1.6642933801611344,1.8527291614202972,1,0.4771911700739452
LUS_0072,ventral,0,0,0,0,0,0,0,0,3.399108021794373,2.6009724010357833,1.6746784822080516,1.7727158261028824,1,0.4517839564112543
LUS_0073,ventral,0,0,0,0,0,0,0,0,2.263486985188068,1.792002140168206,1.620284388757011,0.6341744694489595,0,0
LUS_0074,ventral,0,0,0,0,0,0,0,0,1.926379604404661,1.7069608904458522,1.450748590201441,0,0,0
LUS_0075,ventral,0,0,0,0,0,0,0,0,1.9579393786772281,1.7449555554817464,1.4397219840605548,0,0,0
LUS_0076,side,5.014850174788474,6.146739077147973,6.289398733071034,0.873106555561979,1.2275170909356432,0.27202197862378036,0.6112741155086013,0.566889439945026,0,0,0,0,0,0
LUS_0077,side,5.017141135988171,6.159986135488911,6.277617781600906,0.8551770304965656,1.2365531530380336,0.26948457936674547,0.6147833545827944,0.5583847832038602,0,0,0,0,0,0
LUS_0079,side,4.953030731738483,5.8678456979969615,6.035533363731088,0.8400747452055389,1.1273719663018775,0.2524255893976871,0.583456879929177,0.5512243693410178,0,0,0,0,0,0
LUS_0081,side,7.13024707697082,7.160326613954752,7.403098309122055,1.0532720389890777,1.6156113945655846,0.4115515557543286,0.7592081515435549,0.6905222045647998,0,0,0,0,0,0
LUS_0082,side,7.082940097297396,7.181778290883425,7.4020247772207775,1.0274080096349125,1.5710973795419902,0.4133496408393498,0.764622241265702,0.6886222423439781,0,0,0,0,0,0
LUS_0083,ventral,0,0,0,0,0,0,0,0,2.8434645498042626,2.5885054103383474,1.4202417407018595,1.3636807193058766,1,0.44340216570133467
LUS_0084,ventral,0,0,0,0,0,0,0,0,2.853252844486161,2.5756356456942657,1.4294705527108567,1.3413583709164167,1,0.4472854330258007
LUS_0085,ventral,0,0,0,0,0,0,0,0,2.8595198713399417,2.5698658741013936,1.4353543713116348,1.3393709507566218,1,0.4393543531512557
LUS_0087,ventral,0,0,0,0,0,0,0,0,3.243698633273048,2.5560331291349945,1.632281155093251,1.754847645429363,1,0.4786377372312905
LUS_0089,side,7.9787971997334814,3.4342333522407675,5.052185206730888,1.7771388128523902,0,0,0,0,2.0774292598612667,1.890070137705025,1.413003117864534,0,0,0
LUS_0090,ventral,0,0,0,0,0,0,0,0,2.116200407499828,1.7490841015301117,1.5542548777811076,0,0,0
LUS_0091,ventral,0,0,0,0,0,0,0,0,2.1448556008333144,1.770665210421153,1.5549006688172105,0,0,0
LUS_0092,ventral,0,0,0,0,0,0,0,0,2.145596769762597,1.7512916602132822,1.574266785653771,0,0,0
LUS_0093,side,4.624145453217842,5.80924458132122,6.016977062753048,0.8711861599294373,1.177252854574164,0.26827977108642675,0.6043139993558784,0.5656423370940682,0,0,0,0,0,0
LUS_0094,side,4.601865627367403,5.782839398933976,5.988069079384697,0.8701325938187524,1.1665191080767792,0.2579658820200619,0.6084804090918198,0.5404543860750148,0,0,0,0,0,0
LUS_0096,side,4.624610947326147,5.874421599837253,6.0896624842124,0.8635887058390403,1.1633975593504988,0.2614890335064485,0.6019717452907002,0.5536557726488297,0,0,0,0,0,0
LUS_0097,side,4.632643002528272,5.881411655725424,6.099155341081679,0.8805026979229783,1.1702430609432188,0.26242914905851533,0.6038882530514049,0.5537403499580714,0,0,0,0,0,0
LUS_0098,ventral,0,0,0,0,0,0,0,0,3.3335846821272406,2.578701684132755,1.6710327939054066,1.8879218081087887,1,0.5532740207412834
LUS_0100,side,4.5445185786913225,6.064649733113973,6.157253369414909,0.7947686772255939,1.3461633245406668,0.24051441662635425,0.5726884260828456,0.5351000912072029,0,0,0,0,0,0
LUS_0102,side,4.478491433995674,5.919582530870159,5.9471133416623285,0.69663507394228,1.387957393598087,0.24297879719973348,0.573920645265767,0.539557250182799,0,0,0,0,0,0
LUS_0103,ventral,0,0,0,0,0,0,0,0,2.057726757629175,1.7469671776073996,1.5045420318193072,0,0,0
LUS_0104,ventral,0,0,0,0,0,0,0,0,1.9226666056180033,1.6209650938959392,1.5138911397274426,0,0,0
LUS_0105,ventral,0,0,0,0,0,0,0,0,1.8830999175843044,1.6291818231758632,1.4776380610454631,0,0,0
LUS_0106,ventral,0,0,0,0,0,0,0,0,3.2203804285616173,2.578308920380643,1.6079513850898866,1.8817392001098876,1,0.48450270140335616
LUS_0108,ventral,0,0,0,0,0,0,0,0,3.3156778690964033,2.4954682081155077,1.7084078248567014,1.5512365215997803,1,0.4052820448249811
LUS_0109,ventral,0,0,0,0,0,0,0,0,3.3081502827316225,2.4938391418227748,1.7073254931016666,1.549116034431446,1,0.4076958517433209
LUS_0111,ventral,0,0,0,0,0,0,0,0,2.1498062658821913,1.7255826294280432,1.6001404451462993,0,0,0
LUS_0112,ventral,0,0,0,0,0,0,0,0,2.1723890249765345,1.7257472155639206,1.619421488187501,0,0,0
LUS_0113,side,4.371792882503811,5.504360173830845,5.759645873903694,0.7966956978749532,0.9581146575880103,0.27030603955787186,0.6110166958022184,0.5635464684461788,0,0,0,0,0,0
LUS_0115,side,4.601135440530846,5.748465883417622,5.8836171363973655,0.8734932628183909,1.0547092487290186,0.26169896222195854,0.6017123878017892,0.5539198815675859,0,0,0,0,0,0
LUS_0116,side,4.522539954910963,5.525581885666614,5.525581885666613,0.9212866974040324,0.9009501556210695,0.26022946121338797,0.5911544158356251,0.5606311059966078,0,0,0,0,0,0
LUS_0117,ventral,0,0,0,0,0,0,0,0,3.596360545775051,2.6099709199938417,1.7707582651612594,1.8748197156658502,1,0.468880920766466
LUS_0119,side,4.797765628280136,6.2845494206197206,6.434717479486098,0.8495928098844261,1.0759485583373645,0.2464928213506631,0.6023674902534826,0.521073978293649,0,0,0,0,0,0
LUS_0120,side,4.828926351530198,6.105872273720235,6.288576745340996,0.8758724479954214,1.1450333604110952,0.23844251147762432,0.5956990503496853,0.5097665246286406,0,0,0,0,0,0
LUS_0121,side,4.872080393570705,6.30151384264132,6.496732319167609,0.8824907352857118,1.1374667993172753,0.24111682076651364,0.6024077434445911,0.5098093577581554,0,0,0,0,0,0
LUS_0122,ventral,0,0,0,0,0,0,0,0,1.9526739314576131,1.6683597087435644,1.5034067758191343,0,0,0
LUS_0123,ventral,0,0,0,0,0,0,0,0,1.930322966507177,1.6492955358310857,1.5033798904337186,0,0,0
LUS_0124,ventral,0,0,0,0,0,0,0,0,3.038078626862938,2.3224211384896947,1.6729496168952485,1.5420176964813077,1,0.42285261326434836
LUS_0126,side,4.90530389463404,6.033490492935772,6.1135801243311745,0.8829198529357258,1.1765500497439783,0.2529367201832769,0.600582713023172,0.536572637677782,0,0,0,0,0,0
LUS_0127,side,4.823011838154088,6.116527596785435,6.204125631124157,0.8557531803728664,1.1620923503801535,0.25285457416416424,0.6034354197745606,0.5338996116438908,0,0,0,0,0,0
LUS_0128,ventral,0,0,0,0,0,0,0,0,3.3401865227444425,2.5154630568678296,1.7150819853774677,1.8330423982967423,1,0.437977896568302
LUS_0132,side,4.274203411797994,5.708687870603812,6.009023988336576,0.6259320046858206,1.1693303273975229,0.2553828460857422,0.5985762419526259,0.5434837048494588,0,0,0,0,0,0
